S. No,State/UT Name,ULB Name,Latitude,Longitude,Overall Score (7500 M),Part-I SLP (3000 M),"Part-llA GFC
 (1250 M",Part-llB ODF (1000 M},Part-III Citizen Voice
1,Madhya Pradesh,Indore,22.7195687,75.8577258,7146,2702,1250,1000,2195
2,Gujarat,Surat,21.1702401,72.8310607,6925,2704,1050,1000,2171
3,Maharashtra,Navi Mumbai,19.0330488,73.0296625,6853,2641,1050,1000,2162
4,Andhra Pradesh,Visakhapatnam,17.6868159,83.2184815,6701,2536,1050,1000,2115
5,Andhra Pradesh,Vijayawada,16.5061743,80.6480153,6699,2543,1050,1000,2106
6,Madhya Pradesh,Bhopal,23.2599333,77.412615,6608,2526,1050,1000,2032
7,Andhra Pradesh,Tirupati,13.6287557,79.4191795,6584,2556,1050,1000,1978
8,Karnataka,Mysore,12.2958104,76.6393805,6566,2452,1050,1000,2064
9,Delhi,New Delhi (NDMC),28.6284597,77.2154235,6550,2491,1050,1000,2009
10,Chhattisgarh,Ambikapur,23.1294374,83.1861138,6365,2643,1050,600,2072
11,Uttar Pradesh,Noida,28.5355161,77.3910265,6332,2556,1050,600,2126
12,Chandigarh,Chandigarh,30.7333148,76.7794179,6209,2512,600,1000,2096
13,Maharashtra,Mira-bhayandar,19.2952325,72.8543897,5967,2635,600,600,2132
14,Madhya Pradesh,Chhindwara,22.057437,78.9381729,5912,2659,600,600,2053
15,Maharashtra,Baramati,18.1791791,74.6077971,5899,2481,400,1000,2017
16,Gujarat,Rajkot,22.3038945,70.8021599,5846,2564,600,600,2082
17,Madhya Pradesh,Ujjain,23.1764665,75.7885163,5776,2595,600,600,1980
18,Gujarat,Ahmedabad,23.022505,72.5713621,5721,2528,600,600,1992
19,Maharashtra,Satara,17.6804639,74.018261,5714,2517,600,600,1996
20,Maharashtra,Pune,18.5204303,73.8567437,5708,2492,600,600,2016
21,Madhya Pradesh,Khandwa,21.8314037,76.3497612,5702,2526,600,600,1977
22,Madhya Pradesh,Sagar,23.838805,78.7378068,5699,2616,600,600,1883
23,Chhattisgarh,Korba,22.3594501,82.7500595,5691,2481,600,600,2011
24,Maharashtra,Barshi,18.2333856,75.6941478,5655,2492,600,600,1964
25,Madhya Pradesh,Dewas,22.9675929,76.0534454,5634,2548,600,600,1886
26,Telangana,Greater,,,5613,2167,600,1000,1846
27,Maharashtra,Panvel,18.9894007,73.1175162,5584,2413,600,600,1970
28,Jharkhand,Jamshedpur,22.8045665,86.2028754,5560,2361,600,600,1999
29,Haryana,Gurgaon,28.4594965,77.0266383,5545,2546,600,600,1799
30,Telangana,Siddipet (M),18.1017996,78.8519601,5540,2559,400,600,1981
31,Chhattisgarh,Bhilai Nagar,21.1938475,81.3509416,5500,2347,600,600,1953
32,Madhya Pradesh,Pithampur,22.611121,75.6772689,5479,2550,400,600,1929
33,Gujarat,Gandhinagar,23.2156354,72.6369415,5477,2200,600,600,2076
34,Madhya Pradesh,Singrauli,24.2431529,82.4752757,5464,2515,600,600,1749
35,Chhattisgarh,Bilaspur,22.0796545,82.1409152,5407,2306,600,600,1901
36,Chhattisgarh,Raipur,21.2513844,81.6296413,5395,2335,600,600,1860
37,Uttar Pradesh,Ghaziabad (M. Corp),28.6691565,77.4537578,5388,2306,600,600,1882
38,Chhattisgarh,Risali (NN),,,5377,2266,600,600,1911
39,Chhattisgarh,Durg,21.1904494,81.2849169,5362,2299,600,600,1862
40,Maharashtra,Ahmedanagar,19.0948287,74.7479789,5335,2452,600,200,2083
41,Uttar Pradesh,Aligarh (M. Corp),27.8973944,78.0880129,5332,2325,600,600,1807
42,Madhya Pradesh,Ratlam,23.3315103,75.0366677,5328,2439,400,600,1888
43,Maharashtra,Kulgaon-badlapur,19.1614047,73.2384975,5313,2256,600,600,1856
44,Maharashtra,Thane,19.2183307,72.9780897,5308,2270,600,600,1838
45,Gujarat,Vadodara,22.3071588,73.1812187,5286,2271,600,600,1815
46,Uttar Pradesh,MEERUT (M Corp),28.9844618,77.7064137,5284,2237,400,600,2047
47,Uttar Pradesh,Prayagraj,25.4358011,81.846311,5267,2362,400,600,1905
48,Madhya Pradesh,Mandsaur,24.0734356,75.0679018,5222,2257,600,600,1765
49,Madhya Pradesh,Katni,23.8343441,80.3893814,5219,2307,600,600,1712
50,Maharashtra,Chandrapur_M,11.413049,77.5134807,5218,2247,600,600,1771
